Age,Workclass,Fnlwgt,Education,Education_Num,Marital_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_Per_Week,Native_Country,Result
39,tate-gov,77516, Bachelors,13, Never-married,dm-clerical, Not-in-family, White, Male,2174,0,40,nited-States, <=50K
50,elf-emp-not-inc,83311, Bachelors,13, Married-civ-spouse,xec-managerial, Husband, White, Male,0,0,13,nited-States, <=50K
38,rivate,215646, HS-grad,9, Divorced,andlers-cleaners, Not-in-family, White, Male,0,0,40,nited-States, <=50K
53,rivate,234721, 11th,7, Married-civ-spouse,andlers-cleaners, Husband, Black, Male,0,0,40,nited-States, <=50K
28,rivate,338409, Bachelors,13, Married-civ-spouse,rof-specialty, Wife, Black, Female,0,0,40,uba, <=50K
37,rivate,284582, Masters,14, Married-civ-spouse,xec-managerial, Wife, White, Female,0,0,40,nited-States, <=50K
49,rivate,160187, 9th,5, Married-spouse-absent,ther-service, Not-in-family, Black, Female,0,0,16,amaica, <=50K
52,elf-emp-not-inc,209642, HS-grad,9, Married-civ-spouse,xec-managerial, Husband, White, Male,0,0,45,nited-States, >50K
31,rivate,45781, Masters,14, Never-married,rof-specialty, Not-in-family, White, Female,14084,0,50,nited-States, >50K
42,rivate,159449, Bachelors,13, Married-civ-spouse,xec-managerial, Husband, White, Male,5178,0,40,nited-States, >50K
37,rivate,280464, Some-college,10, Married-civ-spouse,xec-managerial, Husband, Black, Male,0,0,80,nited-States, >50K
30,tate-gov,141297, Bachelors,13, Married-civ-spouse,rof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40,ndia, >50K
23,rivate,122272, Bachelors,13, Never-married,dm-clerical, Own-child, White, Female,0,0,30,nited-States, <=50K
32,rivate,205019, Assoc-acdm,12, Never-married,ales, Not-in-family, Black, Male,0,0,50,nited-States, <=50K
40,rivate,121772, Assoc-voc,11, Married-civ-spouse,raft-repair, Husband, Asian-Pac-Islander, Male,0,0,40,, >50K
34,rivate,245487, 7th-8th,4, Married-civ-spouse,ransport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45,exico, <=50K
25,elf-emp-not-inc,176756, HS-grad,9, Never-married,arming-fishing, Own-child, White, Male,0,0,35,nited-States, <=50K
32,rivate,186824, HS-grad,9, Never-married,achine-op-inspct, Unmarried, White, Male,0,0,40,nited-States, <=50K
38,rivate,28887, 11th,7, Married-civ-spouse,ales, Husband, White, Male,0,0,50,nited-States, <=50K
43,elf-emp-not-inc,292175, Masters,14, Divorced,xec-managerial, Unmarried, White, Female,0,0,45,nited-States, >50K
40,rivate,193524, Doctorate,16, Married-civ-spouse,rof-specialty, Husband, White, Male,0,0,60,nited-States, >50K
54,rivate,302146, HS-grad,9, Separated,ther-service, Unmarried, Black, Female,0,0,20,nited-States, <=50K
35,ederal-gov,76845, 9th,5, Married-civ-spouse,arming-fishing, Husband, Black, Male,0,0,40,nited-States, <=50K
43,rivate,117037, 11th,7, Married-civ-spouse,ransport-moving, Husband, White, Male,0,2042,40,nited-States, <=50K
59,rivate,109015, HS-grad,9, Divorced,ech-support, Unmarried, White, Female,0,0,40,nited-States, <=50K
56,ocal-gov,216851, Bachelors,13, Married-civ-spouse,ech-support, Husband, White, Male,0,0,40,nited-States, >50K
19,rivate,168294, HS-grad,9, Never-married,raft-repair, Own-child, White, Male,0,0,40,nited-States, <=50K
54,,180211, Some-college,10, Married-civ-spouse,, Husband, Asian-Pac-Islander, Male,0,0,60,outh, >50K
39,rivate,367260, HS-grad,9, Divorced,xec-managerial, Not-in-family, White, Male,0,0,80,nited-States, <=50K
49,rivate,193366, HS-grad,9, Married-civ-spouse,raft-repair, Husband, White, Male,0,0,40,nited-States, <=50K
23,ocal-gov,190709, Assoc-acdm,12, Never-married,rotective-serv, Not-in-family, White, Male,0,0,52,nited-States, <=50K
